0.063s	14.61psia	21.88°C	0.832LPM	1.143mg/s	3.360g
22.277s	16.08psia	21.88°C	0.414LPM	0.628mg/s	3.371g

22.337s	16.19psia	21.87°C	0.402LPM	0.613mg/s	3.371g

22.397s	16.30psia	21.87°C	0.389LPM	0.598mg/s	3.371g

22.458s	16.39psia	21.87°C	0.378LPM	0.584mg/s	3.371g

22.518s	16.47psia	21.87°C	0.367LPM	0.570mg/s	3.371g

22.579s	16.56psia	21.87°C	0.357LPM	0.558mg/s	3.371g

22.640s	16.62psia	21.87°C	0.347LPM	0.544mg/s	3.371g

22.700s	16.73psia	21.87°C	0.338LPM	0.533mg/s	3.371g

22.761s	16.78psia	21.87°C	0.330LPM	0.522mg/s	3.371g

22.821s	16.87psia	21.87°C	0.322LPM	0.511mg/s	3.371g

22.882s	16.87psia	21.87°C	0.315LPM	0.500mg/s	3.372g

22.942s	16.98psia	21.87°C	0.307LPM	0.491mg/s	3.372g

23.002s	17.02psia	21.87°C	0.301LPM	0.483mg/s	3.372g

23.063s	17.07psia	21.88°C	0.295LPM	0.475mg/s	3.372g

23.123s	17.14psia	21.87°C	0.288LPM	0.466mg/s	3.372g

23.183s	17.15psia	21.87°C	0.283LPM	0.459mg/s	3.372g

23.243s	17.21psia	21.87°C	0.278LPM	0.452mg/s	3.372g

23.303s	17.24psia	21.87°C	0.273LPM	0.444mg/s	3.372g

23.363s	17.31psia	21.87°C	0.268LPM	0.438mg/s	3.372g

23.423s	17.37psia	21.87°C	0.263LPM	0.431mg/s	3.372g

23.484s	17.38psia	21.87°C	0.259LPM	0.425mg/s	3.372g

23.544s	17.43psia	21.87°C	0.256LPM	0.421mg/s	3.372g

23.605s	17.47psia	21.87°C	0.252LPM	0.415mg/s	3.372g

23.665s	17.46psia	21.87°C	0.249LPM	0.410mg/s	3.372g

23.725s	17.50psia	21.88°C	0.245LPM	0.404mg/s	3.372g

23.785s	17.53psia	21.89°C	0.241LPM	0.400mg/s	3.372g

23.846s	17.61psia	21.87°C	0.239LPM	0.396mg/s	3.372g

23.906s	17.61psia	21.87°C	0.236LPM	0.392mg/s	3.372g

23.966s	17.63psia	21.87°C	0.234LPM	0.388mg/s	3.372g

24.027s	17.67psia	21.87°C	0.230LPM	0.384mg/s	3.372g

24.087s	17.66psia	21.87°C	0.228LPM	0.380mg/s	3.372g

24.156s	17.71psia	21.87°C	0.226LPM	0.378mg/s	3.372g

24.216s	17.74psia	21.87°C	0.224LPM	0.375mg/s	3.372g

24.277s	17.77psia	21.87°C	0.221LPM	0.371mg/s	3.372g

24.344s	17.79psia	21.87°C	0.220LPM	0.368mg/s	3.372g

24.404s	17.83psia	21.87°C	0.216LPM	0.364mg/s	3.372g

24.464s	17.82psia	21.87°C	0.216LPM	0.363mg/s	3.372g

24.524s	17.83psia	21.87°C	0.214LPM	0.360mg/s	3.372g

24.584s	17.86psia	21.87°C	0.212LPM	0.358mg/s	3.372g

24.645s	17.87psia	21.87°C	0.211LPM	0.355mg/s	3.372g

24.706s	17.87psia	21.87°C	0.209LPM	0.353mg/s	3.372g

24.767s	17.86psia	21.88°C	0.208LPM	0.350mg/s	3.372g

24.827s	17.91psia	21.87°C	0.206LPM	0.349mg/s	3.372g

24.887s	17.94psia	21.87°C	0.205LPM	0.346mg/s	3.372g

24.947s	17.92psia	21.87°C	0.203LPM	0.344mg/s	3.372g

25.007s	17.94psia	21.88°C	0.203LPM	0.344mg/s	3.372g

25.067s	17.95psia	21.87°C	0.203LPM	0.343mg/s	3.372g

25.127s	18.01psia	21.87°C	0.200LPM	0.340mg/s	3.372g

25.188s	17.99psia	21.87°C	0.200LPM	0.339mg/s	3.372g

25.248s	18.01psia	21.87°C	0.199LPM	0.337mg/s	3.372g

25.308s	18.01psia	21.87°C	0.198LPM	0.336mg/s	3.372g

25.368s	17.98psia	21.88°C	0.197LPM	0.335mg/s	3.373g

25.428s	18.03psia	21.88°C	0.196LPM	0.333mg/s	3.373g

25.489s	18.01psia	21.88°C	0.195LPM	0.332mg/s	3.373g

25.550s	18.04psia	21.87°C	0.195LPM	0.331mg/s	3.373g

25.610s	18.05psia	21.87°C	0.194LPM	0.329mg/s	3.373g

25.670s	18.03psia	21.87°C	0.194LPM	0.330mg/s	3.373g

25.730s	18.08psia	21.87°C	0.193LPM	0.329mg/s	3.373g

25.790s	18.07psia	21.87°C	0.192LPM	0.328mg/s	3.373g

25.850s	18.06psia	21.87°C	0.191LPM	0.326mg/s	3.373g

25.911s	18.06psia	21.87°C	0.191LPM	0.325mg/s	3.373g

25.970s	18.08psia	21.88°C	0.190LPM	0.325mg/s	3.373g

26.031s	18.09psia	21.87°C	0.190LPM	0.323mg/s	3.373g

26.091s	18.09psia	21.87°C	0.189LPM	0.323mg/s	3.373g

26.151s	18.12psia	21.87°C	0.189LPM	0.322mg/s	3.373g

26.211s	18.09psia	21.87°C	0.188LPM	0.321mg/s	3.373g

26.271s	18.10psia	21.87°C	0.189LPM	0.323mg/s	3.373g

26.332s	18.12psia	21.87°C	0.187LPM	0.320mg/s	3.373g

26.391s	18.10psia	21.87°C	0.187LPM	0.320mg/s	3.373g

26.452s	15.19psia	21.87°C	1.601LPM	2.288mg/s	3.373g

26.512s	14.61psia	21.87°C	0.826LPM	1.137mg/s	3.373g

26.572s	14.80psia	21.88°C	0.633LPM	0.883mg/s	3.373g

26.632s	14.90psia	21.87°C	0.577LPM	0.812mg/s	3.373g

26.692s	15.13psia	21.87°C	0.545LPM	0.777mg/s	3.373g

26.753s	15.26psia	21.87°C	0.522LPM	0.751mg/s	3.373g

26.813s	15.41psia	21.87°C	0.505LPM	0.734mg/s	3.373g

26.874s	15.53psia	21.87°C	0.489LPM	0.717mg/s	3.373g

26.934s	15.68psia	21.87°C	0.472LPM	0.695mg/s	3.373g

26.994s	15.78psia	21.87°C	0.456LPM	0.678mg/s	3.373g

27.054s	15.90psia	21.87°C	0.441LPM	0.662mg/s	3.373g

27.115s	16.01psia	21.87°C	0.427LPM	0.644mg/s	3.373g

27.175s	16.11psia	21.87°C	0.413LPM	0.627mg/s	3.373g

27.236s	16.19psia	21.87°C	0.400LPM	0.612mg/s	3.373g

27.296s	16.28psia	21.87°C	0.389LPM	0.597mg/s	3.374g

27.356s	16.39psia	21.87°C	0.376LPM	0.582mg/s	3.374g

27.416s	16.44psia	21.87°C	0.366LPM	0.569mg/s	3.374g

27.477s	16.54psia	21.87°C	0.357LPM	0.557mg/s	3.374g

27.537s	16.59psia	21.87°C	0.347LPM	0.543mg/s	3.374g

27.598s	16.71psia	21.87°C	0.338LPM	0.533mg/s	3.374g

27.658s	16.79psia	21.87°C	0.329LPM	0.521mg/s	3.374g

27.719s	16.81psia	21.88°C	0.322LPM	0.512mg/s	3.374g

27.780s	16.92psia	21.87°C	0.315LPM	0.502mg/s	3.374g

27.840s	16.96psia	21.88°C	0.308LPM	0.492mg/s	3.374g

27.900s	17.01psia	21.87°C	0.301LPM	0.483mg/s	3.374g

27.961s	17.09psia	21.87°C	0.294LPM	0.475mg/s	3.374g

28.022s	17.13psia	21.88°C	0.289LPM	0.466mg/s	3.374g

28.082s	17.19psia	21.87°C	0.283LPM	0.459mg/s	3.374g

28.142s	17.23psia	21.87°C	0.279LPM	0.453mg/s	3.374g

28.202s	17.25psia	21.88°C	0.273LPM	0.446mg/s	3.374g

28.277s	17.31psia	21.87°C	0.268LPM	0.437mg/s	3.374g

28.338s	17.38psia	21.87°C	0.263LPM	0.431mg/s	3.374g

28.398s	17.39psia	21.87°C	0.259LPM	0.425mg/s	3.374g

28.459s	17.45psia	21.87°C	0.255LPM	0.419mg/s	3.374g

28.519s	17.43psia	21.88°C	0.252LPM	0.414mg/s	3.374g

28.579s	17.50psia	21.87°C	0.248LPM	0.410mg/s	3.374g

28.639s	17.54psia	21.87°C	0.245LPM	0.406mg/s	3.374g

28.701s	17.58psia	21.87°C	0.243LPM	0.403mg/s	3.374g

28.761s	17.58psia	21.87°C	0.239LPM	0.397mg/s	3.374g

28.822s	17.62psia	21.87°C	0.236LPM	0.393mg/s	3.374g

28.882s	17.65psia	21.87°C	0.233LPM	0.388mg/s	3.374g

28.942s	17.69psia	21.87°C	0.231LPM	0.385mg/s	3.374g

29.002s	17.67psia	21.87°C	0.229LPM	0.382mg/s	3.374g

29.062s	17.69psia	21.86°C	0.226LPM	0.377mg/s	3.374g

29.122s	17.71psia	21.87°C	0.224LPM	0.375mg/s	3.374g

29.182s	17.76psia	21.87°C	0.222LPM	0.372mg/s	3.374g

29.243s	17.77psia	21.87°C	0.221LPM	0.370mg/s	3.374g

29.303s	17.76psia	21.87°C	0.218LPM	0.366mg/s	3.374g

29.364s	17.83psia	21.86°C	0.217LPM	0.364mg/s	3.374g

29.424s	17.81psia	21.87°C	0.215LPM	0.361mg/s	3.374g

29.484s	17.87psia	21.87°C	0.214LPM	0.359mg/s	3.374g

29.544s	17.86psia	21.87°C	0.212LPM	0.357mg/s	3.375g

29.605s	17.86psia	21.87°C	0.211LPM	0.355mg/s	3.375g

29.665s	17.90psia	21.86°C	0.209LPM	0.353mg/s	3.375g

29.725s	17.91psia	21.87°C	0.207LPM	0.350mg/s	3.375g

29.786s	17.88psia	21.88°C	0.207LPM	0.349mg/s	3.375g

29.846s	17.93psia	21.87°C	0.204LPM	0.346mg/s	3.375g

29.906s	17.94psia	21.87°C	0.204LPM	0.346mg/s	3.375g

29.966s	17.96psia	21.86°C	0.203LPM	0.344mg/s	3.375g

30.026s	17.96psia	21.87°C	0.202LPM	0.342mg/s	3.375g

30.087s	17.99psia	21.87°C	0.201LPM	0.340mg/s	3.375g

30.147s	17.97psia	21.87°C	0.200LPM	0.339mg/s	3.375g

30.207s	17.99psia	21.88°C	0.199LPM	0.337mg/s	3.375g

30.267s	18.00psia	21.87°C	0.199LPM	0.338mg/s	3.375g

30.327s	18.02psia	21.87°C	0.198LPM	0.336mg/s	3.375g

30.387s	18.03psia	21.87°C	0.197LPM	0.335mg/s	3.375g

30.447s	18.04psia	21.87°C	0.196LPM	0.333mg/s	3.375g

30.508s	18.02psia	21.87°C	0.195LPM	0.332mg/s	3.375g

30.568s	18.04psia	21.87°C	0.195LPM	0.331mg/s	3.375g

30.628s	18.06psia	21.87°C	0.194LPM	0.330mg/s	3.375g

30.690s	18.07psia	21.87°C	0.193LPM	0.329mg/s	3.375g

30.750s	18.06psia	21.87°C	0.192LPM	0.328mg/s	3.375g

30.810s	18.03psia	21.87°C	0.192LPM	0.327mg/s	3.375g

30.871s	18.10psia	21.87°C	0.192LPM	0.327mg/s	3.375g

30.931s	18.05psia	21.88°C	0.191LPM	0.327mg/s	3.375g

30.992s	18.08psia	21.87°C	0.190LPM	0.324mg/s	3.375g

31.052s	18.11psia	21.87°C	0.190LPM	0.324mg/s	3.375g

31.112s	18.09psia	21.87°C	0.190LPM	0.324mg/s	3.375g

31.172s	18.09psia	21.87°C	0.189LPM	0.322mg/s	3.375g

31.232s	18.09psia	21.87°C	0.189LPM	0.322mg/s	3.375g

31.293s	18.11psia	21.87°C	0.188LPM	0.321mg/s	3.375g

31.353s	18.09psia	21.88°C	0.188LPM	0.321mg/s	3.375g

31.414s	18.11psia	21.87°C	0.188LPM	0.320mg/s	3.375g

31.474s	15.68psia	21.87°C	0.985LPM	1.451mg/s	3.375g

31.534s	14.78psia	21.87°C	0.865LPM	1.207mg/s	3.375g

31.594s	14.54psia	21.88°C	0.778LPM	1.067mg/s	3.375g

31.662s	14.67psia	21.87°C	0.641LPM	0.887mg/s	3.376g

31.723s	14.84psia	21.87°C	0.587LPM	0.822mg/s	3.376g

31.792s	15.02psia	21.87°C	0.560LPM	0.795mg/s	3.376g

31.871s	15.24psia	21.88°C	0.531LPM	0.764mg/s	3.376g

31.931s	15.34psia	21.87°C	0.514LPM	0.744mg/s	3.376g

31.991s	15.50psia	21.88°C	0.494LPM	0.723mg/s	3.376g

32.051s	15.63psia	21.87°C	0.477LPM	0.704mg/s	3.376g

32.111s	15.73psia	21.87°C	0.460LPM	0.683mg/s	3.376g

32.172s	15.88psia	21.87°C	0.444LPM	0.665mg/s	3.376g

32.233s	15.99psia	21.87°C	0.430LPM	0.649mg/s	3.376g

32.293s	16.08psia	21.87°C	0.416LPM	0.632mg/s	3.376g

32.353s	16.16psia	21.87°C	0.402LPM	0.615mg/s	3.376g

32.413s	16.27psia	21.87°C	0.390LPM	0.599mg/s	3.376g

32.473s	16.34psia	21.87°C	0.378LPM	0.584mg/s	3.376g

32.534s	16.49psia	21.87°C	0.367LPM	0.571mg/s	3.376g

32.595s	16.52psia	21.88°C	0.357LPM	0.557mg/s	3.376g

32.656s	16.61psia	21.87°C	0.348LPM	0.545mg/s	3.376g

32.716s	16.70psia	21.87°C	0.338LPM	0.533mg/s	3.376g

32.776s	16.79psia	21.88°C	0.330LPM	0.523mg/s	3.376g

32.836s	16.83psia	21.87°C	0.322LPM	0.511mg/s	3.376g

32.896s	16.89psia	21.87°C	0.314LPM	0.501mg/s	3.376g

32.957s	16.96psia	21.87°C	0.307LPM	0.492mg/s	3.376g

33.017s	17.01psia	21.87°C	0.300LPM	0.481mg/s	3.376g

33.077s	17.09psia	21.88°C	0.295LPM	0.474mg/s	3.376g

33.137s	17.12psia	21.88°C	0.289LPM	0.467mg/s	3.376g

33.197s	17.19psia	21.87°C	0.283LPM	0.459mg/s	3.376g

33.257s	17.21psia	21.88°C	0.277LPM	0.450mg/s	3.377g

33.317s	17.30psia	21.87°C	0.273LPM	0.445mg/s	3.377g

33.379s	17.33psia	21.87°C	0.269LPM	0.439mg/s	3.377g

33.439s	17.36psia	21.87°C	0.264LPM	0.433mg/s	3.377g

33.499s	17.40psia	21.88°C	0.260LPM	0.426mg/s	3.377g

33.559s	17.41psia	21.89°C	0.256LPM	0.420mg/s	3.377g

33.619s	17.47psia	21.87°C	0.252LPM	0.415mg/s	3.377g

33.679s	17.52psia	21.87°C	0.248LPM	0.410mg/s	3.377g

33.739s	17.49psia	21.89°C	0.244LPM	0.403mg/s	3.377g

33.800s	17.57psia	21.88°C	0.241LPM	0.400mg/s	3.377g

33.860s	17.59psia	21.87°C	0.238LPM	0.395mg/s	3.377g

33.920s	17.61psia	21.87°C	0.235LPM	0.391mg/s	3.377g

33.980s	17.62psia	21.89°C	0.233LPM	0.387mg/s	3.377g

34.040s	17.68psia	21.87°C	0.231LPM	0.385mg/s	3.377g

34.100s	17.69psia	21.87°C	0.228LPM	0.381mg/s	3.377g

34.160s	17.68psia	21.87°C	0.225LPM	0.377mg/s	3.377g

34.221s	17.73psia	21.88°C	0.223LPM	0.374mg/s	3.377g

34.281s	17.76psia	21.87°C	0.221LPM	0.371mg/s	3.377g

34.341s	17.81psia	21.87°C	0.218LPM	0.367mg/s	3.377g

34.401s	17.78psia	21.87°C	0.218LPM	0.365mg/s	3.377g

34.461s	17.83psia	21.87°C	0.216LPM	0.363mg/s	3.377g

34.521s	17.83psia	21.87°C	0.214LPM	0.360mg/s	3.377g

34.581s	17.85psia	21.87°C	0.212LPM	0.357mg/s	3.377g

34.642s	17.88psia	21.87°C	0.210LPM	0.355mg/s	3.377g

34.702s	17.88psia	21.87°C	0.210LPM	0.354mg/s	3.377g

34.762s	17.89psia	21.87°C	0.208LPM	0.350mg/s	3.377g

34.822s	17.91psia	21.87°C	0.207LPM	0.349mg/s	3.377g

34.882s	17.93psia	21.88°C	0.205LPM	0.348mg/s	3.377g

34.942s	17.95psia	21.87°C	0.203LPM	0.344mg/s	3.377g

35.003s	17.96psia	21.87°C	0.203LPM	0.344mg/s	3.377g

35.062s	17.96psia	21.87°C	0.201LPM	0.341mg/s	3.377g

35.125s	17.96psia	21.87°C	0.200LPM	0.340mg/s	3.377g

35.186s	17.98psia	21.87°C	0.200LPM	0.339mg/s	3.377g

35.246s	18.00psia	21.87°C	0.199LPM	0.337mg/s	3.377g

35.306s	18.00psia	21.87°C	0.198LPM	0.336mg/s	3.377g

35.379s	18.02psia	21.87°C	0.197LPM	0.335mg/s	3.377g

35.439s	18.04psia	21.87°C	0.196LPM	0.334mg/s	3.377g

35.499s	18.05psia	21.87°C	0.196LPM	0.333mg/s	3.377g

35.560s	18.05psia	21.87°C	0.195LPM	0.331mg/s	3.377g

35.620s	18.01psia	21.87°C	0.193LPM	0.329mg/s	3.377g

35.680s	18.05psia	21.87°C	0.193LPM	0.328mg/s	3.377g

35.740s	18.06psia	21.87°C	0.192LPM	0.327mg/s	3.377g

35.800s	18.03psia	21.87°C	0.192LPM	0.326mg/s	3.377g

35.860s	18.06psia	21.87°C	0.192LPM	0.326mg/s	3.377g

35.921s	18.08psia	21.87°C	0.191LPM	0.326mg/s	3.377g

35.981s	18.08psia	21.87°C	0.190LPM	0.325mg/s	3.377g

36.044s	18.08psia	21.88°C	0.190LPM	0.324mg/s	3.377g

36.105s	18.08psia	21.87°C	0.189LPM	0.323mg/s	3.377g

36.167s	18.09psia	21.87°C	0.188LPM	0.322mg/s	3.377g

36.228s	18.11psia	21.87°C	0.189LPM	0.324mg/s	3.377g

36.290s	18.10psia	21.87°C	0.188LPM	0.321mg/s	3.377g

36.353s	18.12psia	21.87°C	0.188LPM	0.321mg/s	3.377g

36.414s	18.14psia	21.87°C	0.186LPM	0.319mg/s	3.377g

36.501s	14.61psia	21.86°C	0.929LPM	1.282mg/s	3.378g

36.562s	14.76psia	21.87°C	0.649LPM	0.903mg/s	3.378g

36.623s	14.94psia	21.87°C	0.583LPM	0.822mg/s	3.378g

36.690s	15.09psia	21.87°C	0.548LPM	0.782mg/s	3.378g

36.750s	15.28psia	21.87°C	0.522LPM	0.752mg/s	3.378g

36.811s	15.40psia	21.88°C	0.504LPM	0.732mg/s	3.378g

36.871s	15.54psia	21.87°C	0.488LPM	0.716mg/s	3.378g

36.931s	15.66psia	21.87°C	0.473LPM	0.697mg/s	3.378g

36.991s	15.78psia	21.87°C	0.456LPM	0.679mg/s	3.378g

37.052s	15.89psia	21.88°C	0.441LPM	0.661mg/s	3.378g

37.112s	16.01psia	21.87°C	0.427LPM	0.644mg/s	3.378g

37.173s	16.08psia	21.87°C	0.413LPM	0.628mg/s	3.378g

37.233s	16.21psia	21.87°C	0.400LPM	0.612mg/s	3.378g

37.293s	16.30psia	21.87°C	0.389LPM	0.598mg/s	3.378g

37.353s	16.39psia	21.87°C	0.377LPM	0.584mg/s	3.378g

37.413s	16.46psia	21.87°C	0.366LPM	0.569mg/s	3.378g

37.474s	16.56psia	21.87°C	0.357LPM	0.556mg/s	3.378g

37.534s	16.62psia	21.87°C	0.347LPM	0.545mg/s	3.378g

37.594s	16.71psia	21.87°C	0.339LPM	0.534mg/s	3.378g

37.655s	16.77psia	21.87°C	0.330LPM	0.522mg/s	3.378g

37.715s	16.84psia	21.87°C	0.322LPM	0.512mg/s	3.378g

37.776s	16.87psia	21.87°C	0.315LPM	0.502mg/s	3.378g

37.836s	16.96psia	21.87°C	0.307LPM	0.491mg/s	3.379g

37.896s	17.02psia	21.88°C	0.301LPM	0.484mg/s	3.379g

37.956s	17.08psia	21.87°C	0.294LPM	0.474mg/s	3.379g

38.016s	17.12psia	21.87°C	0.288LPM	0.465mg/s	3.379g

38.077s	17.17psia	21.87°C	0.284LPM	0.459mg/s	3.379g

38.137s	17.24psia	21.87°C	0.278LPM	0.451mg/s	3.379g

38.197s	17.24psia	21.87°C	0.273LPM	0.443mg/s	3.379g

38.257s	17.31psia	21.87°C	0.269LPM	0.440mg/s	3.379g

38.317s	17.34psia	21.87°C	0.264LPM	0.433mg/s	3.379g

38.379s	17.41psia	21.87°C	0.260LPM	0.427mg/s	3.379g

38.440s	17.44psia	21.87°C	0.256LPM	0.421mg/s	3.379g

38.501s	17.46psia	21.87°C	0.252LPM	0.415mg/s	3.379g

38.562s	17.49psia	21.88°C	0.249LPM	0.410mg/s	3.379g

38.622s	17.54psia	21.87°C	0.245LPM	0.405mg/s	3.379g

38.695s	17.58psia	21.86°C	0.241LPM	0.400mg/s	3.379g

38.755s	17.59psia	21.87°C	0.238LPM	0.395mg/s	3.379g

38.815s	17.61psia	21.87°C	0.236LPM	0.392mg/s	3.379g

38.876s	17.66psia	21.87°C	0.233LPM	0.388mg/s	3.379g

38.937s	17.63psia	21.87°C	0.230LPM	0.383mg/s	3.379g

38.998s	17.71psia	21.86°C	0.228LPM	0.381mg/s	3.379g

39.058s	17.74psia	21.87°C	0.226LPM	0.379mg/s	3.379g

39.118s	17.75psia	21.89°C	0.224LPM	0.375mg/s	3.379g

39.178s	17.79psia	21.88°C	0.222LPM	0.371mg/s	3.379g

39.238s	17.77psia	21.87°C	0.220LPM	0.369mg/s	3.379g

39.299s	17.81psia	21.86°C	0.218LPM	0.366mg/s	3.379g

39.359s	17.85psia	21.87°C	0.216LPM	0.363mg/s	3.379g

39.419s	17.82psia	21.87°C	0.214LPM	0.361mg/s	3.379g

39.479s	17.86psia	21.87°C	0.213LPM	0.359mg/s	3.379g

39.539s	17.87psia	21.87°C	0.212LPM	0.357mg/s	3.379g

39.599s	17.89psia	21.86°C	0.211LPM	0.355mg/s	3.379g

39.659s	17.92psia	21.87°C	0.209LPM	0.353mg/s	3.379g

39.720s	17.93psia	21.87°C	0.208LPM	0.351mg/s	3.379g

39.780s	17.91psia	21.87°C	0.206LPM	0.348mg/s	3.379g

39.840s	17.89psia	21.87°C	0.205LPM	0.346mg/s	3.379g

39.901s	17.93psia	21.86°C	0.204LPM	0.345mg/s	3.379g

39.961s	17.93psia	21.87°C	0.203LPM	0.343mg/s	3.379g

40.021s	17.97psia	21.87°C	0.202LPM	0.342mg/s	3.379g

40.081s	18.01psia	21.87°C	0.201LPM	0.342mg/s	3.379g

40.141s	17.99psia	21.87°C	0.200LPM	0.340mg/s	3.380g

40.202s	18.02psia	21.87°C	0.199LPM	0.337mg/s	3.380g

40.262s	18.02psia	21.87°C	0.198LPM	0.336mg/s	3.380g

40.322s	17.96psia	21.87°C	0.197LPM	0.335mg/s	3.380g

40.383s	18.04psia	21.87°C	0.196LPM	0.334mg/s	3.380g

40.443s	18.03psia	21.87°C	0.196LPM	0.333mg/s	3.380g

40.503s	18.04psia	21.87°C	0.195LPM	0.331mg/s	3.380g

40.564s	18.03psia	21.88°C	0.194LPM	0.331mg/s	3.380g

40.625s	18.07psia	21.87°C	0.194LPM	0.330mg/s	3.380g

40.685s	18.02psia	21.87°C	0.193LPM	0.329mg/s	3.380g

40.745s	18.06psia	21.87°C	0.193LPM	0.328mg/s	3.380g

40.807s	18.05psia	21.87°C	0.192LPM	0.327mg/s	3.380g

40.870s	18.04psia	21.87°C	0.192LPM	0.327mg/s	3.380g

40.931s	18.06psia	21.88°C	0.191LPM	0.325mg/s	3.380g

41.002s	18.08psia	21.87°C	0.190LPM	0.324mg/s	3.380g

41.064s	18.06psia	21.88°C	0.190LPM	0.324mg/s	3.380g

41.124s	18.11psia	21.87°C	0.190LPM	0.324mg/s	3.380g

41.184s	18.09psia	21.87°C	0.188LPM	0.322mg/s	3.380g

41.244s	18.11psia	21.87°C	0.190LPM	0.324mg/s	3.380g

41.304s	18.12psia	21.86°C	0.189LPM	0.322mg/s	3.380g

41.364s	18.11psia	21.87°C	0.188LPM	0.321mg/s	3.380g

41.425s	17.43psia	21.87°C	0.654LPM	1.069mg/s	3.380g

41.485s	15.46psia	21.88°C	0.978LPM	1.421mg/s	3.380g

41.545s	14.75psia	21.87°C	0.830LPM	1.155mg/s	3.380g

41.606s	14.56psia	21.87°C	0.754LPM	1.036mg/s	3.380g

41.666s	14.66psia	21.87°C	0.631LPM	0.873mg/s	3.380g

41.726s	14.85psia	21.87°C	0.589LPM	0.824mg/s	3.380g

41.786s	14.98psia	21.87°C	0.561LPM	0.794mg/s	3.380g

41.847s	15.16psia	21.87°C	0.541LPM	0.773mg/s	3.380g

41.906s	15.30psia	21.86°C	0.523LPM	0.756mg/s	3.380g

41.967s	15.44psia	21.88°C	0.505LPM	0.735mg/s	3.380g

42.027s	15.58psia	21.87°C	0.487LPM	0.715mg/s	3.381g

42.087s	15.70psia	21.87°C	0.469LPM	0.695mg/s	3.381g

42.147s	15.80psia	21.87°C	0.452LPM	0.675mg/s	3.381g

42.207s	15.91psia	21.87°C	0.438LPM	0.657mg/s	3.381g

42.267s	16.04psia	21.87°C	0.423LPM	0.640mg/s	3.381g

42.328s	16.16psia	21.87°C	0.409LPM	0.624mg/s	3.381g

42.388s	16.26psia	21.88°C	0.396LPM	0.607mg/s	3.381g

42.448s	16.33psia	21.87°C	0.384LPM	0.592mg/s	3.381g

42.508s	16.43psia	21.87°C	0.374LPM	0.579mg/s	3.381g

42.569s	16.51psia	21.87°C	0.362LPM	0.564mg/s	3.381g

42.629s	16.56psia	21.87°C	0.353LPM	0.551mg/s	3.381g

42.689s	16.67psia	21.87°C	0.343LPM	0.538mg/s	3.381g

42.750s	16.71psia	21.87°C	0.334LPM	0.527mg/s	3.381g

42.811s	16.81psia	21.87°C	0.325LPM	0.516mg/s	3.381g

42.872s	16.89psia	21.87°C	0.319LPM	0.507mg/s	3.381g

42.932s	16.94psia	21.87°C	0.311LPM	0.496mg/s	3.381g

42.992s	16.98psia	21.87°C	0.304LPM	0.487mg/s	3.381g

43.053s	17.02psia	21.87°C	0.298LPM	0.480mg/s	3.381g

43.115s	17.08psia	21.87°C	0.292LPM	0.472mg/s	3.381g

43.176s	17.14psia	21.87°C	0.285LPM	0.461mg/s	3.381g

43.236s	17.20psia	21.87°C	0.280LPM	0.454mg/s	3.381g

43.311s	17.28psia	21.87°C	0.274LPM	0.446mg/s	3.381g

43.372s	17.29psia	21.87°C	0.269LPM	0.439mg/s	3.381g

43.432s	17.33psia	21.88°C	0.264LPM	0.432mg/s	3.381g

43.492s	17.40psia	21.88°C	0.260LPM	0.427mg/s	3.381g

43.553s	17.40psia	21.87°C	0.257LPM	0.422mg/s	3.381g

43.613s	17.46psia	21.87°C	0.253LPM	0.416mg/s	3.381g

43.674s	17.50psia	21.87°C	0.249LPM	0.411mg/s	3.381g

43.734s	17.52psia	21.87°C	0.245LPM	0.405mg/s	3.381g

43.794s	17.54psia	21.87°C	0.242LPM	0.400mg/s	3.381g

43.855s	17.58psia	21.88°C	0.238LPM	0.395mg/s	3.381g

43.916s	17.64psia	21.87°C	0.236LPM	0.392mg/s	3.381g

43.975s	17.66psia	21.87°C	0.233LPM	0.388mg/s	3.381g

44.036s	17.69psia	21.87°C	0.231LPM	0.385mg/s	3.381g

44.096s	17.68psia	21.88°C	0.228LPM	0.381mg/s	3.381g

44.156s	17.69psia	21.88°C	0.226LPM	0.377mg/s	3.382g

44.216s	17.74psia	21.88°C	0.223LPM	0.373mg/s	3.382g

44.277s	17.77psia	21.87°C	0.222LPM	0.372mg/s	3.382g

44.338s	17.77psia	21.88°C	0.219LPM	0.368mg/s	3.382g

44.398s	17.79psia	21.87°C	0.218LPM	0.365mg/s	3.382g

44.458s	17.82psia	21.87°C	0.216LPM	0.364mg/s	3.382g

44.518s	17.83psia	21.87°C	0.215LPM	0.361mg/s	3.382g

